Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VYT3	CNAG_06368		Matrin-type domain-containing protein		CNAG_06368		J9VYT3_CRYNH	mRNA splicing, via spliceosome [GO:0000398]	spliceosomal complex [GO:0005681]	spliceosomal complex [GO:0005681]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; mRNA splicing, via spliceosome [GO:0000398]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0000398; GO:0003676; GO:0005681; GO:0008270
J9VS11	CNAG_05882		Class E vacuolar protein-sorting machinery protein HSE1 (Class E vacuolar protein-sorting machinery protein hse1)		CNAG_05882		J9VS11_CRYNH	intracellular protein transport [GO:0006886]	endosome membrane [GO:0010008]	endosome membrane [GO:0010008]; intracellular protein transport [GO:0006886]		GO:0006886; GO:0010008
J9VNW6	CNAG_06633		Small subunit ribosomal protein S15		CNAG_06633		J9VNW6_CRYNH	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015935
J9VS75	CNAG_05294		F-box and WD-40 domain-containing protein CDC4		CNAG_05294		J9VS75_CRYNH					
J9VGH7	CNAG_03987		Elongation factor 1 alpha-like protein		CNAG_03987		J9VGH7_CRYNH			GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525
J9VXI9	CNAG_05537		Postreplication repair E3 ubiquitin-protein ligase RAD18		CNAG_05537		J9VXI9_CRYNH	postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]		metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]	metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]	GO:0003697; GO:0006301; GO:0006513; GO:0046872; GO:0061630
J9VMG9	CNAG_06836		Oxidoreductase		CNAG_06836		J9VMG9_CRYNH			nucleotide binding [GO:0000166]	nucleotide binding [GO:0000166]	GO:0000166
J9VIC8	CNAG_07339		Uncharacterized protein		CNAG_07339		J9VIC8_CRYNH	lipid metabolic process [GO:0006629]; lipid storage [GO:0019915]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]; lipid storage [GO:0019915]		GO:0005789; GO:0006629; GO:0016021; GO:0019915
J9VWT3	CNAG_01667		4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)		CNAG_01667		J9VWT3_CRYNH	isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]	integral component of mitochondrial inner membrane [GO:0031305]	integral component of mitochondrial inner membrane [GO:0031305]; 4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]	GO:0002083; GO:0006744; GO:0008299; GO:0031305; GO:0047293
J9VWC6	CNAG_06316		Glycine cleavage system H protein		CNAG_06316		J9VWC6_CRYNH	glycine decarboxylation via glycine cleavage system [GO:0019464]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; glycine decarboxylation via glycine cleavage system [GO:0019464]		GO:0005739; GO:0005960; GO:0019464
J9VVM7	CNAG_04776		Homoserine dehydrogenase (HDH) (EC 1.1.1.3)		CNAG_04776		J9VVM7_CRYNH	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	aspartate kinase activity [GO:0004072]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	GO:0004072; GO:0004412; GO:0009086; GO:0009088; GO:0009097; GO:0050661
J9VS02	CNAG_05872		Endopeptidase		CNAG_05872		J9VS02_CRYNH			aspartic-type endopeptidase activity [GO:0004190]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190
J9VUG9	CNAG_07686		Topoisomerase 1-associated factor 1		CNAG_07686		J9VUG9_CRYNH	cell cycle [GO:0007049]; negative regulation of DNA replication [GO:0008156]	nucleus [GO:0005634]	nucleus [GO:0005634]; isomerase activity [GO:0016853]; cell cycle [GO:0007049]; negative regulation of DNA replication [GO:0008156]	isomerase activity [GO:0016853]	GO:0005634; GO:0007049; GO:0008156; GO:0016853
J9VK39	CNAG_01310		Nucleolar protein		CNAG_01310		J9VK39_CRYNH					
J9VNT8	CNAG_05823		Uncharacterized protein		CNAG_05823		J9VNT8_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VJC0	CNAG_05059		Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)		CNAG_05059		J9VJC0_CRYNH	acetyl-CoA biosynthetic process from pyruvate [GO:0006086]		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	GO:0004739; GO:0006086
J9VRP8	CNAG_02534		2'-phosphotransferase (EC 2.7.1.160)		CNAG_02534		J9VRP8_CRYNH			NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]	NAD+ ADP-ribosyltransferase activity [GO:0003950]; tRNA 2'-phosphotransferase activity [GO:0000215]	GO:0000215; GO:0003950
J9VJE6	CNAG_05083		Esterase/lipase		CNAG_05083		J9VJE6_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9VPP7	CNAG_05918		ATP synthase subunit beta (EC 7.1.2.2)		CNAG_05918		J9VPP7_CRYNH		proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0005524; GO:0045261; GO:0046933; GO:0046961
J9W3J4	CNAG_05349		HTH APSES-type domain-containing protein		CNAG_05349		J9W3J4_CRYNH			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677
J9VKC5	CNAG_00017		Fork-head domain-containing protein		CNAG_00017		J9VKC5_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565
J9VG22	CNAG_03821		Phosphatidylinositol 3-kinase VPS34 (EC 2.7.1.137)		CNAG_03821		J9VG22_CRYNH	phosphatidylinositol-mediated signaling [GO:0048015]		1-phosphatidylinositol-3-kinase activity [GO:0016303]; ATP binding [GO:0005524]; phosphatidylinositol-mediated signaling [GO:0048015]	1-phosphatidylinositol-3-kinase activity [GO:0016303]; ATP binding [GO:0005524]	GO:0005524; GO:0016303; GO:0048015
J9VP84	CNAG_05745		Cytoplasmic protein		CNAG_05745		J9VP84_CRYNH					
J9W3P6	CNAG_05402		Protein CMS1		CNAG_05402		J9W3P6_CRYNH					
J9VVM3	CNAG_07848		FYVE-type domain-containing protein		CNAG_07848		J9VVM3_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
J9VSC8	CNAG_04448		Ribosomal protein L19		CNAG_04448		J9VSC8_CRYNH	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0003723; GO:0003735; GO:0006412; GO:0022625
T2BMC0	CNAG_01368		Uncharacterized protein		CNAG_01368		T2BMC0_CRYNH					
J9VIW4	CNAG_06897		Uncharacterized protein		CNAG_06897		J9VIW4_CRYNH					
J9VM67	CNAG_02261		Uncharacterized protein		CNAG_02261		J9VM67_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VX89	CNAG_05445		Smooth muscle cell associated protein-1 isoform 2		CNAG_05445		J9VX89_CRYNH					
J9VP94	CNAG_05129		Uncharacterized protein		CNAG_05129		J9VP94_CRYNH					
J9W1Y1	CNAG_01919		Uncharacterized protein		CNAG_01919		J9W1Y1_CRYNH					
J9VWS7	CNAG_07595		Uncharacterized protein		CNAG_07595		J9VWS7_CRYNH					
J9VLW1	CNAG_02378		Ribonucloprotein		CNAG_02378		J9VLW1_CRYNH		nucleolus [GO:0005730]	nucleolus [GO:0005730]; RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723; GO:0005730
J9VPR0	CNAG_03217		Uncharacterized protein		CNAG_03217		J9VPR0_CRYNH					
J9VI68	CNAG_00167		Uncharacterized protein		CNAG_00167		J9VI68_CRYNH		integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]	integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]		GO:0005778; GO:0016021
J9VPF8	CNAG_02522		Solute carrier family 25 (Mitochondrial iron transporter), member 28/37		CNAG_02522		J9VPF8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VRN0	CNAG_05743		Anaphase-promoting complex subunit 10		CNAG_05743		J9VRN0_CRYNH	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]	anaphase-promoting complex [GO:0005680]	anaphase-promoting complex [GO:0005680]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]		GO:0005680; GO:0007049; GO:0031145; GO:0051301
J9VXF0	CNAG_04905		tRNA (Uracil-5-)-methyltransferase		CNAG_04905		J9VXF0_CRYNH			S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697]	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697]	GO:0030697
J9VSF4	CNAG_03116		Forkhead transcription factor 3		CNAG_03116		J9VSF4_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565
J9VQF4	CNAG_01293		Uncharacterized protein		CNAG_01293		J9VQF4_CRYNH					
J9VZT4	CNAG_05520		Uncharacterized protein		CNAG_05520		J9VZT4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VS58	CNAG_04367		DUF2431 domain-containing protein		CNAG_04367		J9VS58_CRYNH					
J9VMD0	CNAG_05331		Uncharacterized protein		CNAG_05331		J9VMD0_CRYNH					
J9VMI7	CNAG_02388		Uncharacterized protein		CNAG_02388		J9VMI7_CRYNH					
J9VD50	CNAG_00069		Uncharacterized protein		CNAG_00069		J9VD50_CRYNH					
J9VJZ0	CNAG_01356		Uncharacterized protein		CNAG_01356		J9VJZ0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VWI9	CNAG_04222		Protein SDA1		CNAG_04222		J9VWI9_CRYNH	actin cytoskeleton organization [GO:0030036]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]	nucleolus [GO:0005730]	nucleolus [GO:0005730]; actin cytoskeleton organization [GO:0030036]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]		GO:0000055; GO:0005730; GO:0030036; GO:0042273
J9VWD4	CNAG_06325		GTPase activator		CNAG_06325		J9VWD4_CRYNH	negative regulation of exit from mitosis [GO:0001100]; positive regulation of GTPase activity [GO:0043547]	Bfa1-Bub2 complex [GO:1990334]	Bfa1-Bub2 complex [GO:1990334]; GTPase activator activity [GO:0005096]; negative regulation of exit from mitosis [GO:0001100]; positive regulation of GTPase activity [GO:0043547]	GTPase activator activity [GO:0005096]	GO:0001100; GO:0005096; GO:0043547; GO:1990334
J9VQR2	CNAG_03383		THUMP domain-containing protein		CNAG_03383		J9VQR2_CRYNH	tRNA modification [GO:0006400]		RNA binding [GO:0003723]; tRNA modification [GO:0006400]	RNA binding [GO:0003723]	GO:0003723; GO:0006400
J9VM52	CNAG_07639		Triacylglycerol lipase		CNAG_07639		J9VM52_CRYNH					
J9VTJ7	CNAG_03521		DNA-directed RNA polymerase subunit		CNAG_03521		J9VTJ7_CRYNH	transcription, DNA-templated [GO:0006351]; tRNA 3'-trailer cleavage [GO:0042779]	nucleolus [GO:0005730]	nucleolus [GO:0005730]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]; tRNA 3'-trailer cleavage [GO:0042779]	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0003899; GO:0005730; GO:0006351; GO:0008270; GO:0042779
J9VUJ5	CNAG_01699		Histone deacetylase 1/2		CNAG_01699		J9VUJ5_CRYNH					
J9VPS7	CNAG_07690		Uncharacterized protein		CNAG_07690		J9VPS7_CRYNH					
J9VF41	CNAG_00806		Uncharacterized protein		CNAG_00806		J9VF41_CRYNH	negative regulation of ATPase activity [GO:0032780]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; ATPase inhibitor activity [GO:0042030]; negative regulation of ATPase activity [GO:0032780]	ATPase inhibitor activity [GO:0042030]	GO:0005739; GO:0032780; GO:0042030
J9VNW2	CNAG_06628		Aldehyde dehydrogenase (NAD )		CNAG_06628		J9VNW2_CRYNH			oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	GO:0016620
J9W0J1	CNAG_04652		Enoyl reductase		CNAG_04652		J9W0J1_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
T2BMP7	CNAG_02174		Signal recognition particle 54 kDa protein		CNAG_02174		T2BMP7_CRYNH	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	signal recognition particle, endoplasmic reticulum targeting [GO:0005786]	signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	7S RNA binding [GO:0008312]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0005786; GO:0006614; GO:0008312
J9VQF7	CNAG_02782		Cytoplasmic protein		CNAG_02782		J9VQF7_CRYNH					
J9VJS3	CNAG_00729		Helitron_like_N domain-containing protein		CNAG_00729		J9VJS3_CRYNH					
J9VTM2	CNAG_04607		t-SNARE coiled-coil homology domain-containing protein		CNAG_04607		J9VTM2_CRYNH	protein transport [GO:0015031]	integral component of Golgi membrane [GO:0030173]	integral component of Golgi membrane [GO:0030173]; protein transport [GO:0015031]		GO:0015031; GO:0030173
T2BQ76	CNAG_05406		Cell cycle arrest protein BUB2, variant		CNAG_05406		T2BQ76_CRYNH					
J9VGS4	CNAG_04092		Sugar transporter		CNAG_04092		J9VGS4_CRYNH	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	transmembrane transporter activity [GO:0022857]	GO:0008643; GO:0016021; GO:0022857
J9VRM7	CNAG_07766		DNA polymerase lambda (EC 2.7.7.7)		CNAG_07766		J9VRM7_CRYNH	DNA repair [GO:0006281]		DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA repair [GO:0006281]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]	GO:0003677; GO:0003887; GO:0006281
J9VQH8	CNAG_01273		Cellular nucleic acid-binding protein		CNAG_01273		J9VQH8_CRYNH			nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
J9VL89	CNAG_01137		Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)		CNAG_01137		J9VL89_CRYNH	tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]	GO:0003994; GO:0005739; GO:0006099; GO:0046872; GO:0051539
J9VHU9	CNAG_00820		Prephenate dehydratase (EC 4.2.1.51)		CNAG_00820		J9VHU9_CRYNH	L-phenylalanine biosynthetic process [GO:0009094]		chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]; L-phenylalanine biosynthetic process [GO:0009094]	chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]	GO:0004106; GO:0004664; GO:0009094
J9VPA6	CNAG_03098		Mitochondrial import inner membrane translocase subunit TIM16 (Mitochondrial import inner membrane translocase subunit tim16) (Presequence translocated-associated motor subunit PAM16)		CNAG_03098		J9VPA6_CRYNH	protein import into mitochondrial matrix [GO:0030150]	TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]	TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; protein import into mitochondrial matrix [GO:0030150]		GO:0005744; GO:0030150
J9VSX9	CNAG_02094		Arp2/3 complex 34 kDa subunit		CNAG_02094		J9VSX9_CRYNH	actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; actin binding [GO:0003779]; actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin binding [GO:0003779]	GO:0003779; GO:0005737; GO:0005885; GO:0030041; GO:0034314
J9VNB0	CNAG_02598		Chitinase (EC 3.2.1.14)		CNAG_02598		J9VNB0_CRYNH	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]		chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	GO:0000272; GO:0004568; GO:0006032; GO:0008061
J9VLG9	CNAG_00397		2-oxoisovalerate dehydrogenase E1 component, beta subunit		CNAG_00397		J9VLG9_CRYNH			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824
T2BN46	CNAG_03044		HD domain-containing protein		CNAG_03044		T2BN46_CRYNH					
J9VLB7	CNAG_00331		Anon-23da protein		CNAG_00331		J9VLB7_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VTG5	CNAG_04669		CDP-diacylglycerol synthase (EC 2.7.7.41) (Phosphatidate cytidylyltransferase, mitochondrial)		CNAG_04669		J9VTG5_CRYNH	cardiolipin biosynthetic process [GO:0032049]; CDP-diacylglycerol biosynthetic process [GO:0016024]	mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]; phosphatidate cytidylyltransferase activity [GO:0004605]; cardiolipin biosynthetic process [GO:0032049]; CDP-diacylglycerol biosynthetic process [GO:0016024]	phosphatidate cytidylyltransferase activity [GO:0004605]	GO:0004605; GO:0005743; GO:0016024; GO:0032049
J9VM90	CNAG_02978		Uncharacterized protein		CNAG_02978		J9VM90_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VL26	CNAG_06890		Membrane transporter		CNAG_06890		J9VL26_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VNG3	CNAG_01192		Uncharacterized protein		CNAG_01192		J9VNG3_CRYNH					
J9VIZ5	CNAG_05132		Cytochrome c oxidase subunit 5b		CNAG_05132		J9VIZ5_CRYNH		mitochondrial envelope [GO:0005740]	mitochondrial envelope [GO:0005740]; cytochrome-c oxidase activity [GO:0004129]	cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005740
J9VVR9	CNAG_03489		RNA recognition domain-containing protein (RRM)-containing protein		CNAG_03489		J9VVR9_CRYNH			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723
J9VK95	CNAG_06816		CMP/dCMP-type deaminase domain-containing protein		CNAG_06816		J9VK95_CRYNH			hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
J9VUE8	CNAG_04290		Uncharacterized protein		CNAG_04290		J9VUE8_CRYNH	electron transport chain [GO:0022900]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; electron transport chain [GO:0022900]		GO:0005743; GO:0016021; GO:0022900; GO:0070469
J9VUA1	CNAG_01638		Mitotic spindle assembly checkpoint protein MAD2		CNAG_01638		J9VUA1_CRYNH	cell division [GO:0051301]; mitotic spindle assembly checkpoint [GO:0007094]	nucleus [GO:0005634]	nucleus [GO:0005634]; cell division [GO:0051301]; mitotic spindle assembly checkpoint [GO:0007094]		GO:0005634; GO:0007094; GO:0051301
J9VWM2	CNAG_01607		Thioredoxin		CNAG_01607		J9VWM2_CRYNH					
J9VSY2	CNAG_03281		Glycine-rich RNA binding protein		CNAG_03281		J9VSY2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723; GO:0016021
J9W282	CNAG_05992		MFS domain-containing protein		CNAG_05992		J9W282_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VTX5	CNAG_00967		Uncharacterized protein		CNAG_00967		J9VTX5_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VVX6	CNAG_04656		Arginyltransferase (EC 2.3.2.8)		CNAG_04656		J9VVX6_CRYNH			arginyltransferase activity [GO:0004057]	arginyltransferase activity [GO:0004057]	GO:0004057
J9VPN5	CNAG_05903		Uncharacterized protein		CNAG_05903		J9VPN5_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VV21	CNAG_07642		Uncharacterized protein		CNAG_07642		J9VV21_CRYNH					
J9VIL2	CNAG_05027		Amine oxidase (EC 1.4.3.-)		CNAG_05027		J9VIL2_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VT96	CNAG_01224		Large subunit ribosomal protein L18-A		CNAG_01224		J9VT96_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
T2BNR5	CNAG_05286		acidPPc domain-containing protein		CNAG_05286		T2BNR5_CRYNH					
J9VS90	CNAG_07844		Uncharacterized protein		CNAG_07844		J9VS90_CRYNH					
J9VUN3	CNAG_01746		E3 ubiquitin-protein ligase RNF14		CNAG_01746		J9VUN3_CRYNH			metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0046872
J9VPB4	CNAG_00862		AP_endonuc_2 domain-containing protein		CNAG_00862		J9VPB4_CRYNH					
J9VK13	CNAG_00788		NADH dehydrogenase		CNAG_00788		J9VK13_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491
J9VJJ4	CNAG_04096		Racemase		CNAG_04096		J9VJJ4_CRYNH			L-rhamnonate dehydratase activity [GO:0050032]	L-rhamnonate dehydratase activity [GO:0050032]	GO:0050032
J9VXG0	CNAG_01900		Nudix hydrolase domain-containing protein		CNAG_01900		J9VXG0_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9VS34	CNAG_05906		Uncharacterized protein		CNAG_05906		J9VS34_CRYNH					
J9VRJ3	CNAG_04346		Dihydrodipicolinate synthase		CNAG_04346		J9VRJ3_CRYNH			lyase activity [GO:0016829]	lyase activity [GO:0016829]	GO:0016829
J9VRL7	CNAG_00866		Transketolase		CNAG_00866		J9VRL7_CRYNH			metal ion binding [GO:0046872]; transferase activity [GO:0016740]	metal ion binding [GO:0046872]; transferase activity [GO:0016740]	GO:0016740; GO:0046872
J9W291	CNAG_06002		tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)		CNAG_06002		J9W291_CRYNH	methylation [GO:0032259]; tRNA processing [GO:0008033]		ATP binding [GO:0005524]; methyltransferase activity [GO:0008168]; tRNA binding [GO:0000049]; tRNA-5-taurinomethyluridine 2-sulfurtransferase [GO:0061708]; methylation [GO:0032259]; tRNA processing [GO:0008033]	ATP binding [GO:0005524]; methyltransferase activity [GO:0008168]; tRNA-5-taurinomethyluridine 2-sulfurtransferase [GO:0061708]; tRNA binding [GO:0000049]	GO:0000049; GO:0005524; GO:0008033; GO:0008168; GO:0032259; GO:0061708
J9VUX4	CNAG_07610		Uncharacterized protein		CNAG_07610		J9VUX4_CRYNH					
J9VXY8	CNAG_07897		MFS transporter, SP family, general alpha glucoside:H symporter		CNAG_07897		J9VXY8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VRG2	CNAG_05040		Uncharacterized protein		CNAG_05040		J9VRG2_CRYNH					
